experiment,motif,motif_cell_type,count_r2,presence_accuracy,motif_frequency
B1_baseline_mse,GATA1,K562,0.6054790019989014,0.843,0.3898
B1_baseline_mse,TAL1_Ebox,K562,0.33525288105010986,0.764,0.7536
B1_baseline_mse,KLF1_CACCC,K562,0.21865302324295044,0.745,0.3032
B1_baseline_mse,NFE2_MARE,K562,0.23503416776657104,0.897,0.1362
B1_baseline_mse,STAT5_GAS,K562,0.19983839988708496,0.938,0.0768
B1_baseline_mse,FOXA,HepG2,0.03215956687927246,0.89,0.1198
B1_baseline_mse,CEBP,HepG2,0.07484245300292969,0.664,0.3634
B1_baseline_mse,USF_Ebox,HepG2,0.003630340099334717,0.95,0.0414
B1_baseline_mse,SP1_GCbox,both,0.5140458941459656,0.869,0.2154
B1_baseline_mse,CCAAT,both,0.22702717781066895,0.797,0.2314
B1_baseline_mse,tandem_GATA,K562,0.033628106117248535,0.986,0.0128
C1_pl_linear_curriculum_20260121,GATA1,K562,0.4368587136268616,0.771,0.3898
C1_pl_linear_curriculum_20260121,TAL1_Ebox,K562,0.1687975525856018,0.732,0.7536
C1_pl_linear_curriculum_20260121,KLF1_CACCC,K562,0.13578271865844727,0.716,0.3032
C1_pl_linear_curriculum_20260121,NFE2_MARE,K562,0.2101408839225769,0.904,0.1362
C1_pl_linear_curriculum_20260121,STAT5_GAS,K562,0.20111525058746338,0.938,0.0768
C1_pl_linear_curriculum_20260121,FOXA,HepG2,-0.023436546325683594,0.889,0.1198
C1_pl_linear_curriculum_20260121,CEBP,HepG2,0.03616499900817871,0.628,0.3634
C1_pl_linear_curriculum_20260121,USF_Ebox,HepG2,-0.05577230453491211,0.953,0.0414
C1_pl_linear_curriculum_20260121,SP1_GCbox,both,0.41239380836486816,0.845,0.2154
C1_pl_linear_curriculum_20260121,CCAAT,both,0.1644570231437683,0.778,0.2314
C1_pl_linear_curriculum_20260121,tandem_GATA,K562,0.007944822311401367,0.986,0.0128
C2_pl_stepped_curriculum,GATA1,K562,0.4461997151374817,0.778,0.3898
C2_pl_stepped_curriculum,TAL1_Ebox,K562,0.17896384000778198,0.731,0.7536
C2_pl_stepped_curriculum,KLF1_CACCC,K562,0.1469213366508484,0.743,0.3032
C2_pl_stepped_curriculum,NFE2_MARE,K562,0.22410106658935547,0.889,0.1362
C2_pl_stepped_curriculum,STAT5_GAS,K562,0.21869182586669922,0.944,0.0768
C2_pl_stepped_curriculum,FOXA,HepG2,-0.01008450984954834,0.888,0.1198
C2_pl_stepped_curriculum,CEBP,HepG2,0.040480613708496094,0.656,0.3634
C2_pl_stepped_curriculum,USF_Ebox,HepG2,-0.0026683807373046875,0.954,0.0414
C2_pl_stepped_curriculum,SP1_GCbox,both,0.439919650554657,0.847,0.2154
C2_pl_stepped_curriculum,CCAAT,both,0.16803663969039917,0.773,0.2314
C2_pl_stepped_curriculum,tandem_GATA,K562,-0.03272747993469238,0.984,0.0128
C3_combined_curriculum,GATA1,K562,0.4733949899673462,0.766,0.3898
C3_combined_curriculum,TAL1_Ebox,K562,0.1414710283279419,0.733,0.7536
C3_combined_curriculum,KLF1_CACCC,K562,0.15547508001327515,0.723,0.3032
C3_combined_curriculum,NFE2_MARE,K562,0.2948695421218872,0.919,0.1362
C3_combined_curriculum,STAT5_GAS,K562,0.18227124214172363,0.939,0.0768
C3_combined_curriculum,FOXA,HepG2,-0.016591429710388184,0.885,0.1198
C3_combined_curriculum,CEBP,HepG2,0.04475969076156616,0.652,0.3634
C3_combined_curriculum,USF_Ebox,HepG2,-0.004597663879394531,0.952,0.0414
C3_combined_curriculum,SP1_GCbox,both,0.40697139501571655,0.844,0.2154
C3_combined_curriculum,CCAAT,both,0.14073461294174194,0.78,0.2314
C3_combined_curriculum,tandem_GATA,K562,-0.014791131019592285,0.983,0.0128
D1_domain_adversarial,GATA1,K562,0.3829474449157715,0.746,0.3898
D1_domain_adversarial,TAL1_Ebox,K562,0.2278294563293457,0.727,0.7536
D1_domain_adversarial,KLF1_CACCC,K562,0.15875518321990967,0.715,0.3032
D1_domain_adversarial,NFE2_MARE,K562,0.25484955310821533,0.903,0.1362
D1_domain_adversarial,STAT5_GAS,K562,0.11338627338409424,0.935,0.0768
D1_domain_adversarial,FOXA,HepG2,-0.011521100997924805,0.888,0.1198
D1_domain_adversarial,CEBP,HepG2,0.04461205005645752,0.639,0.3634
D1_domain_adversarial,USF_Ebox,HepG2,0.02577739953994751,0.951,0.0414
D1_domain_adversarial,SP1_GCbox,both,0.40212202072143555,0.856,0.2154
D1_domain_adversarial,CCAAT,both,0.18641096353530884,0.779,0.2314
D1_domain_adversarial,tandem_GATA,K562,-0.019643068313598633,0.983,0.0128
D2_bias_factorized,GATA1,K562,0.43411916494369507,0.778,0.3898
D2_bias_factorized,TAL1_Ebox,K562,0.22075331211090088,0.739,0.7536
D2_bias_factorized,KLF1_CACCC,K562,0.16630101203918457,0.733,0.3032
D2_bias_factorized,NFE2_MARE,K562,0.2629215717315674,0.91,0.1362
D2_bias_factorized,STAT5_GAS,K562,0.15761613845825195,0.932,0.0768
D2_bias_factorized,FOXA,HepG2,-0.02826547622680664,0.888,0.1198
D2_bias_factorized,CEBP,HepG2,0.04903268814086914,0.643,0.3634
D2_bias_factorized,USF_Ebox,HepG2,-0.07482922077178955,0.951,0.0414
D2_bias_factorized,SP1_GCbox,both,0.4568067789077759,0.851,0.2154
D2_bias_factorized,CCAAT,both,0.16694778203964233,0.781,0.2314
D2_bias_factorized,tandem_GATA,K562,-0.0033038854598999023,0.985,0.0128
D3_full_advanced,GATA1,K562,0.3882172703742981,0.752,0.3898
D3_full_advanced,TAL1_Ebox,K562,0.18575042486190796,0.728,0.7536
D3_full_advanced,KLF1_CACCC,K562,0.15912282466888428,0.716,0.3032
D3_full_advanced,NFE2_MARE,K562,0.2539716958999634,0.898,0.1362
D3_full_advanced,STAT5_GAS,K562,0.16086769104003906,0.932,0.0768
D3_full_advanced,FOXA,HepG2,-0.036539316177368164,0.886,0.1198
D3_full_advanced,CEBP,HepG2,0.04590141773223877,0.639,0.3634
D3_full_advanced,USF_Ebox,HepG2,-0.10722935199737549,0.949,0.0414
D3_full_advanced,SP1_GCbox,both,0.4216950535774231,0.853,0.2154
D3_full_advanced,CCAAT,both,0.18789952993392944,0.79,0.2314
D3_full_advanced,tandem_GATA,K562,0.014110028743743896,0.982,0.0128
H1_HepG2_baseline_mse,GATA1,K562,0.15676778554916382,0.719,0.2676
H1_HepG2_baseline_mse,TAL1_Ebox,K562,0.07218945026397705,0.775,0.7562
H1_HepG2_baseline_mse,KLF1_CACCC,K562,0.13780677318572998,0.743,0.2466
H1_HepG2_baseline_mse,NFE2_MARE,K562,0.07019323110580444,0.901,0.1058
H1_HepG2_baseline_mse,STAT5_GAS,K562,-0.0010412931442260742,0.936,0.0658
H1_HepG2_baseline_mse,FOXA,HepG2,0.09540355205535889,0.791,0.212
H1_HepG2_baseline_mse,CEBP,HepG2,0.07641065120697021,0.626,0.416
H1_HepG2_baseline_mse,USF_Ebox,HepG2,0.00727999210357666,0.964,0.0412
H1_HepG2_baseline_mse,SP1_GCbox,both,0.43543821573257446,0.874,0.1834
H1_HepG2_baseline_mse,CCAAT,both,0.06989669799804688,0.777,0.2394
H2_HepG2_plackett_luce,GATA1,K562,0.09773290157318115,0.717,0.2676
H2_HepG2_plackett_luce,TAL1_Ebox,K562,0.15535485744476318,0.773,0.7562
H2_HepG2_plackett_luce,KLF1_CACCC,K562,0.10344475507736206,0.739,0.2466
H2_HepG2_plackett_luce,NFE2_MARE,K562,0.3233850598335266,0.924,0.1058
H2_HepG2_plackett_luce,STAT5_GAS,K562,-0.04114246368408203,0.933,0.0658
H2_HepG2_plackett_luce,FOXA,HepG2,0.17334115505218506,0.814,0.212
H2_HepG2_plackett_luce,CEBP,HepG2,0.09675240516662598,0.624,0.416
H2_HepG2_plackett_luce,USF_Ebox,HepG2,0.07070749998092651,0.961,0.0412
H2_HepG2_plackett_luce,SP1_GCbox,both,0.42341750860214233,0.867,0.1834
H2_HepG2_plackett_luce,CCAAT,both,0.2043411135673523,0.785,0.2394
H3_HepG2_combined,GATA1,K562,0.06064051389694214,0.705,0.2676
H3_HepG2_combined,TAL1_Ebox,K562,0.16508489847183228,0.764,0.7562
H3_HepG2_combined,KLF1_CACCC,K562,0.15512597560882568,0.764,0.2466
H3_HepG2_combined,NFE2_MARE,K562,0.3572421073913574,0.932,0.1058
H3_HepG2_combined,STAT5_GAS,K562,-0.007005810737609863,0.936,0.0658
H3_HepG2_combined,FOXA,HepG2,0.17218613624572754,0.798,0.212
H3_HepG2_combined,CEBP,HepG2,0.12067866325378418,0.618,0.416
H3_HepG2_combined,USF_Ebox,HepG2,0.05683547258377075,0.96,0.0412
H3_HepG2_combined,SP1_GCbox,both,0.4059440493583679,0.867,0.1834
H3_HepG2_combined,CCAAT,both,0.23626762628555298,0.8,0.2394
H4_HepG2_softsort,GATA1,K562,0.09642833471298218,0.717,0.2676
H4_HepG2_softsort,TAL1_Ebox,K562,0.18637162446975708,0.76,0.7562
H4_HepG2_softsort,KLF1_CACCC,K562,0.15090620517730713,0.768,0.2466
H4_HepG2_softsort,NFE2_MARE,K562,0.1886109709739685,0.909,0.1058
H4_HepG2_softsort,STAT5_GAS,K562,-0.019442439079284668,0.93,0.0658
H4_HepG2_softsort,FOXA,HepG2,0.15192967653274536,0.795,0.212
H4_HepG2_softsort,CEBP,HepG2,0.1529049277305603,0.638,0.416
H4_HepG2_softsort,USF_Ebox,HepG2,0.11577200889587402,0.961,0.0412
H4_HepG2_softsort,SP1_GCbox,both,0.41841787099838257,0.875,0.1834
H4_HepG2_softsort,CCAAT,both,0.2364128828048706,0.783,0.2394
R1_plackett_luce,GATA1,K562,0.4309203028678894,0.76,0.3898
R1_plackett_luce,TAL1_Ebox,K562,0.18049675226211548,0.737,0.7536
R1_plackett_luce,KLF1_CACCC,K562,0.13800477981567383,0.726,0.3032
R1_plackett_luce,NFE2_MARE,K562,0.2924749255180359,0.907,0.1362
R1_plackett_luce,STAT5_GAS,K562,0.1383136510848999,0.937,0.0768
R1_plackett_luce,FOXA,HepG2,-0.0005640983581542969,0.886,0.1198
R1_plackett_luce,CEBP,HepG2,0.03823965787887573,0.629,0.3634
R1_plackett_luce,USF_Ebox,HepG2,0.009997844696044922,0.954,0.0414
R1_plackett_luce,SP1_GCbox,both,0.4384157657623291,0.859,0.2154
R1_plackett_luce,CCAAT,both,0.1634225845336914,0.784,0.2314
R1_plackett_luce,tandem_GATA,K562,0.0018918514251708984,0.983,0.0128
R2_softsort,GATA1,K562,0.40609031915664673,0.781,0.3898
R2_softsort,TAL1_Ebox,K562,0.23119425773620605,0.734,0.7536
R2_softsort,KLF1_CACCC,K562,0.13341641426086426,0.716,0.3032
R2_softsort,NFE2_MARE,K562,0.1969950795173645,0.901,0.1362
R2_softsort,STAT5_GAS,K562,0.14629918336868286,0.931,0.0768
R2_softsort,FOXA,HepG2,-0.029549479484558105,0.89,0.1198
R2_softsort,CEBP,HepG2,0.03159034252166748,0.649,0.3634
R2_softsort,USF_Ebox,HepG2,-0.044071197509765625,0.951,0.0414
R2_softsort,SP1_GCbox,both,0.4508025646209717,0.86,0.2154
R2_softsort,CCAAT,both,0.20180737972259521,0.773,0.2314
R2_softsort,tandem_GATA,K562,-0.0012984275817871094,0.98,0.0128
R3_ranknet,GATA1,K562,0.4632665514945984,0.788,0.3898
R3_ranknet,TAL1_Ebox,K562,0.19873982667922974,0.747,0.7536
R3_ranknet,KLF1_CACCC,K562,0.15883249044418335,0.726,0.3032
R3_ranknet,NFE2_MARE,K562,0.22797071933746338,0.895,0.1362
R3_ranknet,STAT5_GAS,K562,0.1312972903251648,0.932,0.0768
R3_ranknet,FOXA,HepG2,-0.016896486282348633,0.892,0.1198
R3_ranknet,CEBP,HepG2,0.01863783597946167,0.631,0.3634
R3_ranknet,USF_Ebox,HepG2,-0.008141279220581055,0.957,0.0414
R3_ranknet,SP1_GCbox,both,0.4187089204788208,0.855,0.2154
R3_ranknet,CCAAT,both,0.2204006314277649,0.789,0.2314
R3_ranknet,tandem_GATA,K562,0.007756054401397705,0.985,0.0128
R4_combined,GATA1,K562,0.44447171688079834,0.775,0.3898
R4_combined,TAL1_Ebox,K562,0.15149617195129395,0.732,0.7536
R4_combined,KLF1_CACCC,K562,0.1459411382675171,0.738,0.3032
R4_combined,NFE2_MARE,K562,0.16809988021850586,0.88,0.1362
R4_combined,STAT5_GAS,K562,0.1598988175392151,0.935,0.0768
R4_combined,FOXA,HepG2,0.00497746467590332,0.885,0.1198
R4_combined,CEBP,HepG2,0.03641170263290405,0.645,0.3634
R4_combined,USF_Ebox,HepG2,-0.021848559379577637,0.95,0.0414
R4_combined,SP1_GCbox,both,0.42119383811950684,0.858,0.2154
R4_combined,CCAAT,both,0.24071109294891357,0.798,0.2314
R4_combined,tandem_GATA,K562,0.018350303173065186,0.986,0.0128
R5_dual_combined,GATA1,K562,0.5287399291992188,0.806,0.3898
R5_dual_combined,TAL1_Ebox,K562,0.22227156162261963,0.743,0.7536
R5_dual_combined,KLF1_CACCC,K562,0.1794183850288391,0.731,0.3032
R5_dual_combined,NFE2_MARE,K562,0.3287675380706787,0.921,0.1362
R5_dual_combined,STAT5_GAS,K562,0.27206897735595703,0.947,0.0768
R5_dual_combined,FOXA,HepG2,-0.03171086311340332,0.882,0.1198
R5_dual_combined,CEBP,HepG2,0.056925415992736816,0.658,0.3634
R5_dual_combined,USF_Ebox,HepG2,-0.02405107021331787,0.954,0.0414
R5_dual_combined,SP1_GCbox,both,0.4854033589363098,0.855,0.2154
R5_dual_combined,CCAAT,both,0.2369060516357422,0.802,0.2314
R5_dual_combined,tandem_GATA,K562,-5.4836273193359375e-06,0.984,0.0128
